"Dataset S7 Hub (> 1,000 edges) genes of network of LC+ genes",,,,
Gene ID,Number of edges,Arabidopsis orthologue,Symbol,Human readable description
Solyc09g065590,1038,AT3G63300,FKD1,phosphoinositide binding | chr3:8068595-8071559 FORWARD
Solyc07g005830,1038,AT4G30690,NA,translation initiation factor 3 (IF-3) family protein | chr4:14960742-14962328 FORWARD
Solyc01g105680,1038,AT5G64330,JK218,"NPH3, RPT3, JK218 | NPH3 (NON-PHOTOTROPIC HYPOCOTYL 3); protein binding / signal transducer | chr5:25727568-25730225 FORWARD"
Solyc10g084970,1038,AT3G54000,NA,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised conserved protein UCP022260 (InterPro:IPR016802); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G59050.1); Has 43 Blast hits to 43 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 43; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:19996757-19998197 FORWARD
Solyc04g051800,1038,AT5G64840,ATGCN5,ATGCN5 | ATGCN5 (A. THALIANA GENERAL CONTROL NON-REPRESSIBLE 5); transporter | chr5:25916956-25919693 REVERSE
Solyc02g072160,1038,AT4G18810,NA,binding / catalytic/ transcription repressor | chr4:10322622-10325735 REVERSE
Solyc06g051400,1038,AT5G05580,FAD8,FAD8 | FAD8 (FATTY ACID DESATURASE 8); omega-3 fatty acid desaturase | chr5:1664331-1666345 FORWARD
Solyc05g051060,1037,AT5G16560,NA,"KAN, KAN1 | KAN (KANADI); transcription factor | chr5:5407365-5411092 REVERSE"
Solyc04g015340,1037,AT3G07990,SCPL27,SCPL27 | SCPL27 (serine carboxypeptidase-like 27); serine-type carboxypeptidase | chr3:2552544-2554644 FORWARD
Solyc01g068280,1037,AT5G63950,NA,CHR24 | CHR24 (chromatin remodeling 24); ATP binding / DNA binding / helicase/ nucleic acid binding | chr5:25592160-25598405 REVERSE
Solyc09g090330,1037,AT3G23400,NA,plastid-lipid associated protein PAP / fibrillin family protein | chr3:8376636-8378225 REVERSE
Solyc07g062870,1037,AT3G15190,NA,"chloroplast 30S ribosomal protein S20, putative | chr3:5116216-5117412 FORWARD"
Solyc07g005140,1037,AT2G25180,NA,ARR12 | ARR12 (ARABIDOPSIS RESPONSE REGULATOR 12); transcription factor/ two-component response regulator | chr2:10724490-10726961 REVERSE
Solyc12g096550,1037,AT2G24820,TIC55-II,"TIC55 | TIC55 (TRANSLOCON AT THE INNER ENVELOPE MEMBRANE OF CHLOROPLASTS 55); 2 iron, 2 sulfur cluster binding / electron carrier/ oxidoreductase | chr2:10575038-10576829 FORWARD"
Solyc12g100160,1037,AT1G05190,emb2394,emb2394 | emb2394 (embryo defective 2394); structural constituent of ribosome | chr1:1502515-1503738 REVERSE
Solyc03g083060,1037,AT5G53020,NA,unknown protein | chr5:21499899-21502235 FORWARD
Solyc02g085100,1037,AT5G66530,NA,aldose 1-epimerase family protein | chr5:26553821-26555575 REVERSE
Solyc02g083900,1036,AT2G17930,NA,"binding / inositol or phosphatidylinositol kinase/ phosphotransferase, alcohol group as acceptor | chr2:7784455-7802230 REVERSE"
Solyc12g020050,1036,AT1G80270,PPR596,"DNA-binding protein, putative | chr1:30181265-30183331 FORWARD"
Solyc09g008940,1036,AT4G12080,NA,DNA-binding family protein | chr4:7239466-7241246 FORWARD
Solyc05g017950,1036,AT2G26900,NA,bile acid:sodium symporter family protein | chr2:11475156-11477870 REVERSE
Solyc12g056080,1036,AT5G41770,NA,"crooked neck protein, putative / cell cycle protein, putative | chr5:16718021-16720936 FORWARD"
Solyc07g007060,1036,AT3G58810,ATMTP3,"MTPA2, ATMTPA2, MTP3, ATMTP3 | MTPA2 (METAL TOLERANCE PROTEIN A2); efflux transmembrane transporter/ inorganic anion transmembrane transporter/ zinc ion transmembrane transporter | chr3:21750551-21751849 FORWARD"
Solyc05g009790,1036,AT1G13260,EDF4,TEM1 | TEM1 (TEMPRANILLO 1); transcription factor | chr1:8981891-8982976 REVERSE
Solyc07g047850,1036,AT2G05100,LHCB2,"LHCB2.1, LHCB2 | LHCB2.1; chlorophyll binding | chr2:1823449-1824331 REVERSE"
Solyc07g043130,1036,AT2G30520,RPT2,RPT2 | RPT2 (ROOT PHOTOTROPISM 2); protein binding | chr2:13002920-13005573 REVERSE
Solyc07g056650,1035,AT1G78430,NA,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 16 plant structures; EXPRESSED DURING: 8 growth stages; BEST Arabidopsis thaliana protein match is: tropomyosin-related (TAIR:AT1G17140.2); Has 36552 Blast hits to 19717 proteins in 1278 species: Archae - 377; Bacteria - 3766; Metazoa - 19812; Fungi - 2701; Plants - 1105; Viruses - 197; Other Eukaryotes - 8594 (source: NCBI BLink). | chr1:29509605-29510679 FORWARD
Solyc06g063340,1035,AT3G20260,NA,structural constituent of ribosome | chr3:7064190-7065751 REVERSE
Solyc10g081100,1035,NA,NA,No significant hit found
Solyc09g008460,1035,AT5G03530,ATRAB,"ATRAB ALPHA, ATRAB, ATRAB18B, ATRABC2A, RABC2A | RABC2A (RAB GTPASE HOMOLOG C2A); GTP binding / GTP-dependent protein binding / myosin XI tail binding | chr5:885741-887061 REVERSE"
Solyc05g050500,1035,AT4G09650,NA,"ATPD | ATPD (ATP SYNTHASE DELTA-SUBUNIT GENE); hydrogen ion transporting ATP synthase, rotational mechanism / proton-transporting ATPase, rotational mechanism | chr4:6100799-6101503 FORWARD"
Solyc03g111580,1034,AT3G48440,NA,zinc finger (CCCH-type) family protein | chr3:17941402-17943576 FORWARD
Solyc03g083510,1034,AT5G51560,NA,"leucine-rich repeat transmembrane protein kinase, putative | chr5:20945807-20948613 FORWARD"
Solyc08g083350,1034,AT1G32990,PRPL11,PRPL11 | PRPL11 (PLASTID RIBOSOMAL PROTEIN L11); structural constituent of ribosome | chr1:11955827-11957139 FORWARD
Solyc10g054420,1034,AT2G39470,NA,PPL2 | PPL2 (PsbP-like protein 2); calcium ion binding | chr2:16476335-16477653 FORWARD
Solyc02g091840,1033,AT5G65700,BAM1,BAM1 | BAM1 (BARELY ANY MERISTEM 1); ATP binding / kinase/ protein serine/threonine kinase | chr5:26281826-26284945 FORWARD
Solyc04g009200,1033,AT5G63570,GSA1,"GSA1 | GSA1 (GLUTAMATE-1-SEMIALDEHYDE-2,1-AMINOMUTASE); glutamate-1-semialdehyde 2,1-aminomutase | chr5:25451957-25453620 FORWARD"
Solyc01g109430,1033,AT1G47740,NA,unknown protein | chr1:17567903-17569035 FORWARD
Solyc08g067100,1033,AT5G10770,NA,"chloroplast nucleoid DNA-binding protein, putative | chr5:3403331-3405331 REVERSE"
Solyc06g054020,1032,AT1G05460,SDE3,SDE3 | SDE3 (SILENCING DEFECTIVE); RNA helicase | chr1:1601357-1604658 REVERSE
Solyc05g005770,1032,AT1G23890,NA,NHL repeat-containing protein | chr1:8438900-8440803 REVERSE
Solyc09g065270,1032,AT3G63190,AtcpRRF,"RRF | RRF (RIBOSOME RECYCLING FACTOR, CHLOROPLAST PRECURSOR) | chr3:23342861-23344640 REVERSE"
Solyc04g072030,1032,AT1G60500,DRP4C,dynamin family protein | chr1:22291582-22293822 FORWARD
Solyc02g070990,1032,AT2G34430,LHB1B1,"CAB1, AB140, CAB140, LHCB1.3 | CAB1 (CHLOROPHYLL A/B BINDING PROTEIN 1); chlorophyll binding | chr1:10478071-10478874 FORWARD"
Solyc10g078370,1031,AT1G73590,ATPIN1,"PIN1, ATPIN1 | PIN1 (PIN-FORMED 1); transporter | chr1:27659772-27662876 FORWARD"
Solyc03g117510,1031,AT1G52500,NA,"FPG-1, ATFPG-1, ATMMH-1 | ATMMH-1 (ARABIDOPSIS THALIANA MUTM HOMOLOG-1); DNA N-glycosylase | chr1:19560043-19562855 FORWARD"
Solyc02g085700,1031,AT4G36810,GGPS1,GGPS1 | GGPS1 (GERANYLGERANYL PYROPHOSPHATE SYNTHASE 1); farnesyltranstransferase | chr4:17343513-17344628 FORWARD
Solyc04g049130,1030,AT5G03900,NA,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast envelope; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: FeS cluster biogenesis (InterPro:IPR000361); Has 104 Blast hits to 104 proteins in 40 species: Archae - 0; Bacteria - 55; Metazoa - 0; Fungi - 0; Plants - 44; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink). | chr5:1048338-1051869 FORWARD
Solyc07g053830,1030,AT4G28390,AAC3,"AAC3, ATAAC3 | AAC3 (ADP/ATP CARRIER 3); ATP:ADP antiporter/ binding | chr4:14041486-14042781 REVERSE"
Solyc10g008950,1030,AT5G46070,NA,GTP binding / GTPase | chr5:18683468-18688397 FORWARD
Solyc03g118240,1030,AT4G25080,CHLM,CHLM | CHLM (magnesium-protoporphyrin IX methyltransferase); magnesium protoporphyrin IX methyltransferase | chr4:12877015-12878128 FORWARD
Solyc01g110550,1030,AT4G34730,NA,ribosome-binding factor A family protein | chr4:16570019-16571274 REVERSE
Solyc03g114250,1030,AT5G62840,NA,phosphoglycerate/bisphosphoglycerate mutase family protein | chr5:25228296-25229672 REVERSE
Solyc07g054300,1029,AT4G03415,NA,catalytic/ protein serine/threonine phosphatase | chr4:1503789-1505510 REVERSE
Solyc03g093520,1029,AT5G61580,PFK4,PFK4 | PFK4 (PHOSPHOFRUCTOKINASE 4); 6-phosphofructokinase | chr5:24761150-24763827 FORWARD
Solyc01g079690,1028,AT3G06010,ATCHR12,ATCHR12 | ATCHR12; ATP binding / DNA binding / helicase/ nucleic acid binding | chr3:1802435-1807284 REVERSE
Solyc02g030170,1028,AT3G19820,CBB1,"DWF1, DIM, EVE1, DIM1, CBB1 | DWF1 (DWARF 1); calmodulin binding / catalytic | chr3:6879835-6881616 REVERSE"
Solyc07g052900,1028,AT4G00390,NA,transcription regulator | chr4:171650-172744 REVERSE
Solyc07g052290,1028,AT2G32480,ARASP,"membrane-associated zinc metalloprotease, putative | chr2:13788679-13790022 REVERSE"
Solyc01g107820,1028,AT4G34131,UGT73B3,"UGT73B3 | UGT73B3 (UDP-glucosyl transferase 73B3); UDP-glycosyltransferase/ abscisic acid glucosyltransferase/ quercetin 3-O-glucosyltransferase/ transferase, transferring hexosyl groups | chr4:16343268-16344713 REVERSE"
Solyc01g056780,1028,AT1G29070,NA,ribosomal protein L34 family protein | chr1:10149884-10151155 FORWARD
Solyc05g013700,1027,AT3G26400,NA,EIF4B1 | EIF4B1; translation initiation factor | chr3:9666616-9669081 FORWARD
Solyc05g044480,1027,AT1G05120,NA,SNF2 domain-containing protein / helicase domain-containing protein / RING finger domain-containing protein | chr1:1471624-1476067 REVERSE
Solyc09g091240,1027,AT4G13590,NA,unknown protein | chr4:7901369-7903792 REVERSE
Solyc07g063960,1027,AT5G54600,NA,"50S ribosomal protein L24, chloroplast (CL24) | chr5:22183046-22184403 FORWARD"
Solyc03g123500,1026,AT1G53910,NA,RAP2.12 | RAP2.12; DNA binding / transcription factor | chr1:20135242-20136581 FORWARD
Solyc01g109510,1026,AT4G34430,NA,"CHB3, ATSWI3D | CHB3; DNA binding / transcription factor/ zinc ion binding | chr4:16461069-16464993 FORWARD"
Solyc02g069410,1026,AT5G45170,NA,CbbY protein-related | chr5:18270555-18273129 REVERSE
Solyc03g112630,1026,AT4G10790,NA,UBX domain-containing protein | chr4:6640752-6643035 REVERSE
Solyc06g074730,1025,AT2G27880,AGO5,AGO5 | AGO5 (ARGONAUTE 5); nucleic acid binding | chr2:11871488-11876712 FORWARD
Solyc05g056100,1025,AT2G28380,NA,DRB2 | DRB2 (DSRNA-BINDING PROTEIN 2); double-stranded RNA binding | chr2:12134098-12135915 REVERSE
Solyc12g014210,1025,AT3G15010,NA,RNA recognition motif (RRM)-containing protein | chr3:5052844-5054058 FORWARD
Solyc06g065690,1025,AT5G25510,NA,"serine/threonine protein phosphatase 2A (PP2A) regulatory subunit B', putative | chr5:8882728-8884325 REVERSE"
Solyc07g056140,1025,AT5G48300,ADG1,"ADG1, APS1 | ADG1 (ADP GLUCOSE PYROPHOSPHORYLASE 1); glucose-1-phosphate adenylyltransferase | chr5:19570326-19572557 FORWARD"
Solyc08g076360,1024,AT1G64970,G-TMT,"G-TMT, TMT1, VTE4 | G-TMT (GAMMA-TOCOPHEROL METHYLTRANSFERASE); tocopherol O-methyltransferase | chr1:24134337-24135993 REVERSE"
Solyc11g006060,1024,AT3G04550,NA,unknown protein | chr3:1225961-1227310 FORWARD
Solyc10g080500,1024,AT3G12110,ACT11,ACT11 | ACT11 (actin-11); structural constituent of cytoskeleton | chr3:3858116-3859609 FORWARD
Solyc12g096070,1023,AT3G13960,NA,AtGRF5 | AtGRF5 (GROWTH-REGULATING FACTOR 5); transcription activator | chr3:4608526-4610160 FORWARD
Solyc09g018450,1023,AT2G30110,ATUBA1,"ATUBA1, MOS5 | ATUBA1; ubiquitin activating enzyme/ ubiquitin-protein ligase | chr2:12852632-12857369 REVERSE"
Solyc03g112330,1023,AT5G47740,NA,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: root; CONTAINS InterPro DOMAIN/s: Rossmann-like alpha/beta/alpha sandwich fold (InterPro:IPR014729); BEST Arabidopsis thaliana protein match is: protein kinase family protein / U-box domain-containing protein (TAIR:AT2G45910.1); Has 196 Blast hits to 194 proteins in 7 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 196; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr5:19338688-19339683 FORWARD
Solyc01g067530,1022,AT5G18570,NA,GTP1/OBG family protein | chr5:6171839-6174823 REVERSE
Solyc03g122040,1022,AT3G14172,NA,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: COP1-interacting protein-related (TAIR:AT1G72410.1); Has 2665 Blast hits to 1956 proteins in 215 species: Archae - 2; Bacteria - 189; Metazoa - 878; Fungi - 141; Plants - 132; Viruses - 5; Other Eukaryotes - 1318 (source: NCBI BLink). | chr3:4698860-4704773 REVERSE
Solyc03g006040,1022,AT1G29270,NA,unknown protein | chr1:10230319-10231021 FORWARD
Solyc02g087710,1021,AT3G28730,NA,"ATHMG, SSRP1, NFD | ATHMG (ARABIDOPSIS THALIANA HIGH MOBILITY GROUP); transcription factor | chr3:10784954-10788498 FORWARD"
Solyc08g082480,1021,AT2G46500,ATPI4K,phosphatidylinositol 3- and 4-kinase family protein / ubiquitin family protein | chr2:19086741-19088534 REVERSE
Solyc11g044360,1021,AT4G38160,pde191,pde191 | pde191 (pigment defective 191) | chr4:17902412-17903413 FORWARD
Solyc03g019680,1021,AT5G50530,NA,CBS domain-containing protein / octicosapeptide/Phox/Bemp1 (PB1) domain-containing protein | chr5:20571876-20574922 REVERSE
Solyc02g069260,1020,AT1G31280,NA,AGO2 | AGO2 (argonaute 2); nucleic acid binding | chr1:11181777-11185112 FORWARD
Solyc07g056020,1020,AT1G17220,FUG1,FUG1 | FUG1 (fu-gaeri1); translation initiation factor | chr1:5885383-5890165 FORWARD
Solyc07g061900,1020,AT1G07320,NA,RPL4 | RPL4; poly(U) binding / structural constituent of ribosome | chr1:2249190-2250189 FORWARD
Solyc09g015360,1020,AT5G59610,NA,DNAJ heat shock N-terminal domain-containing protein | chr5:24013165-24014954 FORWARD
Solyc04g006970,1019,AT1G68750,ATPPC4,ATPPC4 | ATPPC4; phosphoenolpyruvate carboxylase | chr1:25822942-25828104 REVERSE
Solyc01g108490,1019,AT2G35780,scpl26,scpl26 | scpl26 (serine carboxypeptidase-like 26); serine-type carboxypeptidase | chr2:15037733-15040104 REVERSE
Solyc05g009380,1018,AT1G68480,NA,JAG | JAG (JAGGED); nucleic acid binding / transcription factor/ zinc ion binding | chr1:25684543-25685932 REVERSE
Solyc06g071490,1018,AT3G48190,NA,"ATM, ATATM | ATM (ATAXIA-TELANGIECTASIA MUTATED); 1-phosphatidylinositol-3-phosphate 5-kinase | chr3:17797628-17828361 FORWARD"
Solyc01g103750,1018,AT1G09795,ATATP-PRT2,"ATATP-PRT2, HISN1B | ATATP-PRT2 (ATP PHOSPHORIBOSYL TRANSFERASE 2); ATP phosphoribosyltransferase | chr1:3173588-3176690 FORWARD"
Solyc11g062240,1018,AT2G16485,NA,DNA binding / nucleic acid binding / protein binding / zinc ion binding | chr2:7137269-7145222 REVERSE
Solyc07g006030,1018,AT4G28080,NA,binding | chr4:13948993-13957840 REVERSE
Solyc02g093140,1018,AT4G36910,NA,"LEJ2, CDCP2 | LEJ2 (LOSS OF THE TIMING OF ET AND JA BIOSYNTHESIS 2) | chr4:17391016-17393218 REVERSE"
Solyc02g062780,1017,AT5G66750,ATDDM1,"DDM1, CHR01, CHR1, CHA1, SOM4, SOM1, ATDDM1 | CHR1 (CHROMATIN REMODELING 1); ATPase/ helicase | chr5:26649050-26652869 FORWARD"
Solyc10g045290,1017,AT3G22790,NA,kinase interacting family protein | chr3:8052446-8057888 REVERSE
Solyc01g102310,1017,NA,NA,No significant hit found
Solyc02g070620,1017,AT3G23880,NA,F-box family protein | chr3:8622061-8623155 REVERSE
Solyc09g065630,1016,AT4G14720,NA,"PPD2, TIFY4B | PPD2; dioxygenase/ metal ion binding | chr4:8432452-8434934 REVERSE"
Solyc07g064700,1016,AT5G55040,NA,DNA binding | chr5:22327727-22331703 REVERSE
Solyc04g015280,1016,AT2G38970,NA,zinc finger (C3HC4-type RING finger) family protein | chr2:16274135-16276651 FORWARD
Solyc04g076800,1016,AT4G13650,NA,pentatricopeptide (PPR) repeat-containing protein | chr4:7939611-7942898 REVERSE
Solyc10g085830,1016,AT3G53140,NA,"O-diphenol-O-methyl transferase, putative | chr3:19695692-19697355 FORWARD"
Solyc02g087150,1016,AT5G14910,NA,heavy-metal-associated domain-containing protein | chr5:4823815-4825196 FORWARD
Solyc01g098320,1016,AT3G57080,NRPE5,"RPB5B, NRPE5 | NRPE5; DNA binding / DNA-directed RNA polymerase | chr3:21125878-21127470 FORWARD"
Solyc06g084140,1016,AT3G51895,AST12,"SULTR3;1, AST12 | SULTR3;1 (SULFATE TRANSPORTER 3;1); secondary active sulfate transmembrane transporter/ sulfate transmembrane transporter/ transporter | chr3:19251503-19255677 REVERSE"
Solyc03g082430,1015,AT5G53660,NA,AtGRF7 | AtGRF7 (GROWTH-REGULATING FACTOR 7); transcription activator | chr5:21794636-21795929 FORWARD
Solyc04g081240,1015,AT1G19850,ARF5,"MP, ARF5, IAA24 | MP (MONOPTEROS); transcription factor | chr1:6887353-6891182 FORWARD"
Solyc05g047520,1015,AT2G06990,HEN2,HEN2 | HEN2 (hua enhancer 2); ATP-dependent helicase/ RNA helicase | chr2:2895135-2900909 FORWARD
Solyc04g016240,1015,AT2G41620,NA,nucleoporin interacting component family protein | chr2:17350419-17354997 REVERSE
Solyc12g021280,1015,AT1G68830,STN7,STN7 | STN7 (Stt7 homolog STN7); kinase/ protein kinase | chr1:25872654-25875473 REVERSE
Solyc08g063040,1015,AT1G55110,NA,AtIDD7 | AtIDD7 (Arabidopsis thaliana Indeterminate(ID)-Domain 7); nucleic acid binding / transcription factor/ zinc ion binding | chr1:20560406-20562625 REVERSE
Solyc02g078780,1014,AT2G20850,SRF1,SRF3 | SRF3 (STRUBBELIG-RECEPTOR FAMILY 3); ATP binding / kinase/ protein serine/threonine kinase | chr4:1490912-1494553 REVERSE
Solyc06g030580,1014,AT2G39670,NA,radical SAM domain-containing protein | chr2:16534303-16536986 FORWARD
Solyc02g089970,1014,AT2G23740,NA,nucleic acid binding / transcription factor/ zinc ion binding | chr2:10098213-10103229 FORWARD
Solyc12g042060,1014,AT5G50920,ATHSP93-V,"CLPC, ATHSP93-V, HSP93-V, DCA1, CLPC1 | CLPC1; ATP binding / ATP-dependent peptidase/ ATPase | chr5:20715710-20719800 REVERSE"
Solyc02g087340,1014,AT5G14970,NA,unknown protein | chr5:4847368-4848760 FORWARD
Solyc07g063190,1014,AT3G15360,NA,"ATHM4, TRX-M4, ATM4 | TRX-M4 (ARABIDOPSIS THIOREDOXIN M-TYPE 4); enzyme activator | chr3:5188448-5189457 FORWARD"
Solyc03g025230,1014,AT4G25640,ATDTX35,MATE efflux family protein | chr4:13076953-13078965 REVERSE
Solyc10g006970,1014,AT3G15360,NA,"ATHM4, TRX-M4, ATM4 | TRX-M4 (ARABIDOPSIS THIOREDOXIN M-TYPE 4); enzyme activator | chr3:5188448-5189457 FORWARD"
Solyc12g005400,1014,AT5G54250,ATCNGC4,"ATCNGC4, CNGC4, HLM1, DND2 | ATCNGC4 (CYCLIC NUCLEOTIDE-GATED CATION CHANNEL 4); calmodulin binding / cation channel/ cation transmembrane transporter/ cyclic nucleotide binding | chr5:22025684-22029971 REVERSE"
Solyc02g078240,1014,AT5G22620,NA,phosphoglycerate/bisphosphoglycerate mutase family protein | chr5:7517731-7520223 REVERSE
Solyc03g083730,1014,AT5G62360,NA,invertase/pectin methylesterase inhibitor family protein | chr5:25040699-25041310 FORWARD
Solyc09g007360,1013,AT2G37080,NA,myosin heavy chain-related | chr2:15581565-15584057 REVERSE
Solyc01g008170,1013,AT2G02160,NA,zinc finger (CCCH-type) family protein | chr2:553407-555899 REVERSE
Solyc01g006900,1013,AT5G06480,NA,MD-2-related lipid recognition domain-containing protein / ML domain-containing protein | chr5:1976219-1977231 REVERSE
Solyc08g079660,1013,AT4G12060,NA,Clp amino terminal domain-containing protein | chr4:7228269-7229898 REVERSE
Solyc07g063130,1012,AT1G53050,NA,protein kinase family protein | chr1:19772574-19775531 FORWARD
Solyc03g113540,1012,AT5G20110,NA,"dynein light chain, putative | chr5:6791542-6793253 REVERSE"
Solyc10g078700,1012,AT2G42200,NA,SPL9 | SPL9 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 9); transcription factor | chr2:17587601-17589451 FORWARD
Solyc07g008250,1012,AT2G25490,EBF1,"EBF1, FBL6 | EBF1 (EIN3-BINDING F BOX PROTEIN 1); protein binding / ubiquitin-protein ligase | chr2:10848018-10850275 REVERSE"
Solyc11g017200,1011,AT1G22700,NA,tetratricopeptide repeat (TPR)-containing protein | chr1:8028323-8029878 REVERSE
Solyc08g069030,1011,AT1G69740,HEMB1,HEMB1 | HEMB1; catalytic/ metal ion binding / porphobilinogen synthase | chr1:26232197-26234713 FORWARD
Solyc07g066180,1011,AT5G56220,NA,nucleoside-triphosphatase/ nucleotide binding | chr5:22754871-22757792 FORWARD
Solyc01g008180,1010,AT2G02170,NA,remorin family protein | chr2:556595-558610 REVERSE
Solyc02g090190,1010,AT2G23520,NA,catalytic/ pyridoxal phosphate binding | chr4:17479173-17481863 REVERSE
Solyc07g006340,1010,AT4G28030,NA,GCN5-related N-acetyltransferase (GNAT) family protein | chr4:13937748-13939131 REVERSE
Solyc01g007890,1010,NA,NA,No significant hit found
Solyc08g041820,1009,AT5G25220,KNAT3,KNAT3 | KNAT3 (KNOTTED1-LIKE HOMEOBOX GENE 3); transcription activator/ transcription factor | chr5:8736208-8738087 FORWARD
Solyc04g077010,1009,AT5G49660,NA,"leucine-rich repeat transmembrane protein kinase, putative | chr5:20161401-20164534 REVERSE"
Solyc08g061140,1008,AT5G11270,NA,OCP3 | OCP3 (OVEREXPRESSOR OF CATIONIC PEROXIDASE 3); transcription factor | chr5:3595557-3597076 REVERSE
Solyc02g090020,1008,AT5G27290,NA,unknown protein | chr5:9618787-9620473 REVERSE
Solyc06g083040,1008,AT4G12910,scpl20,scpl20 | scpl20 (serine carboxypeptidase-like 20); serine-type carboxypeptidase | chr4:7550576-7553051 REVERSE
Solyc07g005570,1007,AT5G57930,NA,APO2 | APO2 (ACCUMULATION OF PHOTOSYSTEM ONE 2) | chr5:23454690-23456354 FORWARD
Solyc08g066940,1007,AT1G52190,NA,proton-dependent oligopeptide transport (POT) family protein | chr1:19434671-19438673 FORWARD
Solyc10g083790,1007,AT3G53130,CYP97C1,"LUT1, CYP97C1 | LUT1 (LUTEIN DEFICIENT 1); epsilon hydroxylase/ oxygen binding | chr3:19692812-19695278 FORWARD"
Solyc03g111700,1007,AT1G29700,NA,unknown protein | chr1:10385196-10386906 REVERSE
Solyc04g076870,1007,AT1G58290,HEMA1,HEMA1 | HEMA1; glutamyl-tRNA reductase | chr1:21624028-21626051 REVERSE
Solyc04g082030,1007,AT5G11880,NA,"diaminopimelate decarboxylase, putative / DAP carboxylase, putative | chr5:3827806-3829942 REVERSE"
Solyc09g010110,1006,AT5G06130,NA,chaperone protein dnaJ-related | chr5:1853754-1855763 REVERSE
Solyc11g072710,1006,AT3G45780,JK224,"PHOT1, NPH1, JK224, RPT1 | PHOT1 (PHOTOTROPIN 1); FMN binding / blue light photoreceptor/ kinase/ protein binding / protein serine/threonine kinase | chr3:16818557-16823960 FORWARD"
Solyc02g090230,1005,AT4G37130,NA,hydroxyproline-rich glycoprotein family protein | chr4:17489567-17491773 FORWARD
Solyc02g083580,1005,AT3G51300,ARAC11,"ARAC11, ROP1, ROP1AT, ATRAC11, ATROP1 | ROP1 (RHO-RELATED PROTEIN FROM PLANTS 1); GTP binding / GTPase activating protein binding / GTPase/ protein binding | chr3:19043197-19044215 FORWARD"
Solyc03g115250,1004,AT5G07980,NA,dentin sialophosphoprotein-related | chr5:2549432-2554669 REVERSE
Solyc07g052610,1004,AT3G21870,CYCP2;1,CYCP2;1 | CYCP2;1 (cyclin p2;1); cyclin-dependent protein kinase | chr3:7703927-7704813 REVERSE
Solyc02g092560,1003,AT5G67385,NA,protein binding / signal transducer | chr5:26884754-26887083 FORWARD
Solyc02g083270,1003,AT4G35760,NA,"LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Vitamin K epoxide reductase (InterPro:IPR012932), Thioredoxin-like fold (InterPro:IPR012336); Has 447 Blast hits to 447 proteins in 86 species: Archae - 0; Bacteria - 179; Metazoa - 0; Fungi - 0; Plants - 31; Viruses - 0; Other Eukaryotes - 237 (source: NCBI BLink). | chr4:16942733-16944622 REVERSE"
Solyc02g067090,1003,AT1G13030,NA,sphere organelles protein-related | chr1:4444284-4447278 REVERSE
Solyc11g010300,1003,AT5G64300,ATGCH,"ATGCH, GCH, ATRIBA1, RFD1 | ATGCH; 3,4-dihydroxy-2-butanone-4-phosphate synthase/ GTP cyclohydrolase II | chr5:25718459-25720790 FORWARD"
Solyc10g078280,1003,AT3G56630,CYP94D2,CYP94D2 | CYP94D2; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding | chr3:20978953-20980512 FORWARD
Solyc04g071360,1003,AT1G76890,NA,"GT2, AT-GT2 | GT2; transcription factor | chr1:28873211-28875203 REVERSE"
Solyc08g076160,1002,AT1G31930,XLG3,XLG3 | XLG3 (extra-large GTP-binding protein 3); guanyl nucleotide binding / signal transducer | chr1:11465832-11468961 FORWARD
Solyc10g084270,1002,AT5G03070,IMPA-9,IMPA-9 | IMPA-9 (IMPORTIN ALPHA ISOFORM 9); binding | chr5:718468-721395 REVERSE
